Abundance,ID,name
"17226","PF12796","Ankyrin repeats (3 copies)"
"16430","PF00005","ABC transporter"
"12870","PF00069","Protein kinase domain"
"11896","PF00109","Beta-ketoacyl synthase, N-terminal domain"
"10671","PF03382","Mycoplasma protein of unknown function, DUF285"
"9065","PF00884","Sulfatase"
"9049","PF00400","WD domain, G-beta repeat"
"8623","PF00106","short chain dehydrogenase"
"7954","PF00023","Ankyrin repeat"
"7320","PF13516","Leucine Rich repeat"
"7310","PF08659","KR domain"
"7258","PF00171","Aldehyde dehydrogenase family"
"6338","PF13540","Regulator of chromosome condensation (RCC1) repeat"
"6182","PF02801","Beta-ketoacyl synthase, C-terminal domain"
"6009","PF00550","Phosphopantetheine attachment site"
"6001","PF00501","AMP-binding enzyme"
"5913","PF00873","AcrB/AcrD/AcrF family"
"5744","PF00012","Hsp70 protein"
"5735","PF01833","IPT/TIG domain"
"5532","PF07394","Protein of unknown function (DUF1501)"
"5136","PF00520","Ion transport protein"
"5121","PF13637","Ankyrin repeats (many copies)"
"4676","PF00155","Aminotransferase class I and II"
"4605","PF00225","Kinesin motor domain"
"4597","PF00271","Helicase conserved C-terminal domain"
"4549","PF00004","ATPase family associated with various cellular activities (AAA)"
"4415","PF13561","Enoyl-(Acyl carrier protein) reductase"
"4400","PF00270","DEAD/DEAH box helicase"
"4391","PF00072","Response regulator receiver domain"
"3863","PF01370","NAD dependent epimerase/dehydratase family"
"3856","PF00009","Elongation factor Tu GTP binding domain"
"3834","PF13041","PPR repeat family"
"3783","PF00063","Myosin head (motor domain)"
"3756","PF02518","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
"3703","PF00514","Armadillo/beta-catenin-like repeat"
"3677","PF07699","Tyrosine-protein kinase ephrin type A/B receptor-like"
"3592","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)"
"3577","PF13424","Tetratricopeptide repeat"
"3559","PF00415","Regulator of chromosome condensation (RCC1) repeat"
"3533","PF13499","EF-hand domain pair"
"3430","PF04886","PT repeat"
"3352","PF00378","Enoyl-CoA hydratase/isomerase"
"3294","PF02867","Ribonucleotide reductase, barrel domain"
"3285","PF07714","Protein tyrosine and serine/threonine kinase"
"3245","PF02493","MORN repeat"
"3179","PF00133","tRNA synthetases class I (I, L, M and V)"
"3130","PF00202","Aminotransferase class-III"
"3130","PF00153","Mitochondrial carrier protein"
"3027","PF02515","CoA-transferase family III"
"2984","PF00248","Aldo/keto reductase family"
"2957","PF13475","Domain of unknown function (DUF4116)"
"2905","PF00266","Aminotransferase class-V"
"2888","PF13306","BspA type Leucine rich repeat region (6 copies)"
"2887","PF07583","Protein of unknown function (DUF1549)"
"2882","PF00361","Proton-conducting membrane transporter"
"2877","PF07587","Protein of unknown function (DUF1553)"
"2866","PF00441","Acyl-CoA dehydrogenase, C-terminal domain"
"2782","PF13517","FG-GAP-like repeat"
"2758","PF00006","ATP synthase alpha/beta family, nucleotide-binding domain"
"2752","PF00560","Leucine Rich Repeat"
"2721","PF00535","Glycosyl transferase family 2"
"2694","PF00158","Sigma-54 interaction domain"
"2669","PF00226","DnaJ domain"
"2611","PF00036","EF hand"
"2603","PF00223","Photosystem I psaA/psaB protein"
"2531","PF13405","EF-hand domain"
"2525","PF00117","Glutamine amidotransferase class-I"
"2517","PF00909","Ammonium Transporter Family"
"2484","PF16363","GDP-mannose 4,6 dehydratase"
"2456","PF02786","Carbamoyl-phosphate synthase L chain, ATP binding domain"
"2450","PF01053","Cys/Met metabolism PLP-dependent enzyme"
"2447","PF07992","Pyridine nucleotide-disulphide oxidoreductase"
"2439","PF00528","Binding-protein-dependent transport system inner membrane component"
"2426","PF01344","Kelch motif"
"2406","PF07727","Reverse transcriptase (RNA-dependent DNA polymerase)"
"2388","PF00291","Pyridoxal-phosphate dependent enzyme"
"2387","PF08238","Sel1 repeat"
"2377","PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD"
"2364","PF00176","SNF2-related domain"
"2352","PF00098","Zinc knuckle"
"2347","PF00027","Cyclic nucleotide-binding domain"
"2340","PF00145","C-5 cytosine-specific DNA methylase"
